Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
14/04/2020 12:51:04.534,-1.000,0.176,-0.039
14/04/2020 12:51:04.567,-1.043,0.141,0.023
14/04/2020 12:51:04.600,-1.031,0.133,0.082
14/04/2020 12:51:04.634,-1.039,0.137,0.145
14/04/2020 12:51:04.667,-1.074,0.145,0.199
14/04/2020 12:51:04.700,-1.230,0.195,0.223
14/04/2020 12:51:04.734,-1.188,0.281,0.285
14/04/2020 12:51:04.767,-0.984,0.336,0.313
14/04/2020 12:51:04.800,-0.832,0.344,0.254
14/04/2020 12:51:04.834,-0.871,0.363,0.199
14/04/2020 12:51:04.867,-0.941,0.355,0.215
14/04/2020 12:51:04.900,-0.941,0.395,0.199
14/04/2020 12:51:04.934,-0.945,0.430,0.152
14/04/2020 12:51:04.967,-0.984,0.430,0.121
14/04/2020 12:51:05.000,-0.953,0.383,0.070
14/04/2020 12:51:05.034,-0.980,0.344,0.012
14/04/2020 12:51:05.067,-0.996,0.355,0.027
14/04/2020 12:51:05.100,-1.055,0.438,0.020
14/04/2020 12:51:05.134,-1.047,0.387,-0.016
14/04/2020 12:51:05.167,-0.984,0.402,0.020
14/04/2020 12:51:05.200,-1.020,0.465,0.055
14/04/2020 12:51:05.234,-1.000,0.438,0.035
14/04/2020 12:51:05.267,-0.938,0.422,0.043
14/04/2020 12:51:05.300,-0.926,0.406,0.078
14/04/2020 12:51:05.334,-0.922,0.422,0.090
14/04/2020 12:51:05.367,-0.934,0.430,0.117
14/04/2020 12:51:05.400,-0.949,0.398,0.113
14/04/2020 12:51:05.434,-1.000,0.445,0.129
14/04/2020 12:51:05.467,-0.941,0.453,0.188
14/04/2020 12:51:05.500,-0.793,0.422,0.188
14/04/2020 12:51:05.534,-0.668,0.375,0.148
14/04/2020 12:51:05.567,-0.770,0.406,0.117
14/04/2020 12:51:05.600,-0.859,0.422,0.113
14/04/2020 12:51:05.634,-0.863,0.398,0.117
14/04/2020 12:51:05.667,-0.809,0.344,0.098
14/04/2020 12:51:05.700,-0.836,0.340,0.094
14/04/2020 12:51:05.734,-0.852,0.348,0.090
14/04/2020 12:51:05.767,-0.863,0.352,0.059
14/04/2020 12:51:05.800,-0.930,0.348,0.043
14/04/2020 12:51:05.834,-0.926,0.355,0.059
14/04/2020 12:51:05.867,-1.012,0.348,0.047
14/04/2020 12:51:05.900,-1.078,0.332,0.043
14/04/2020 12:51:05.934,-1.102,0.336,0.055
14/04/2020 12:51:05.967,-1.137,0.363,0.059
14/04/2020 12:51:06.000,-1.109,0.426,0.074
14/04/2020 12:51:06.034,-1.168,0.449,0.055
14/04/2020 12:51:06.067,-1.270,0.512,0.117
14/04/2020 12:51:06.100,-1.078,0.453,0.203
14/04/2020 12:51:06.134,-0.734,0.313,0.184
14/04/2020 12:51:06.167,-0.586,0.305,0.164
14/04/2020 12:51:06.200,-0.746,0.465,0.207
14/04/2020 12:51:06.234,-0.957,0.547,0.223
14/04/2020 12:51:06.267,-0.992,0.473,0.242
14/04/2020 12:51:06.300,-0.906,0.387,0.238
14/04/2020 12:51:06.334,-0.887,0.336,0.227
14/04/2020 12:51:06.367,-0.863,0.348,0.195
14/04/2020 12:51:06.400,-0.887,0.391,0.184
14/04/2020 12:51:06.434,-0.898,0.398,0.180
14/04/2020 12:51:06.467,-0.867,0.391,0.195
14/04/2020 12:51:06.500,-0.934,0.480,0.211
14/04/2020 12:51:06.534,-0.980,0.473,0.172
14/04/2020 12:51:06.567,-0.926,0.465,0.191
14/04/2020 12:51:06.600,-0.863,0.457,0.199
14/04/2020 12:51:06.634,-0.855,0.496,0.168
14/04/2020 12:51:06.667,-1.000,0.586,0.141
14/04/2020 12:51:06.700,-1.016,0.594,0.176
14/04/2020 12:51:06.734,-0.805,0.480,0.164
14/04/2020 12:51:06.767,-0.660,0.395,0.141
14/04/2020 12:51:06.800,-0.715,0.387,0.117
14/04/2020 12:51:06.834,-0.820,0.418,0.113
14/04/2020 12:51:06.867,-0.875,0.418,0.098
14/04/2020 12:51:06.900,-0.828,0.359,0.090
14/04/2020 12:51:06.934,-0.801,0.336,0.098
14/04/2020 12:51:06.967,-0.820,0.332,0.121
14/04/2020 12:51:07.000,-0.867,0.340,0.098
14/04/2020 12:51:07.034,-0.883,0.332,0.082
14/04/2020 12:51:07.067,-0.895,0.348,0.109
14/04/2020 12:51:07.100,-0.949,0.371,0.105
14/04/2020 12:51:07.134,-1.059,0.363,0.086
14/04/2020 12:51:07.167,-1.137,0.344,0.094
14/04/2020 12:51:07.200,-1.137,0.383,0.121
14/04/2020 12:51:07.234,-1.105,0.438,0.109
14/04/2020 12:51:07.267,-1.277,0.473,0.086
14/04/2020 12:51:07.300,-1.168,0.461,0.113
14/04/2020 12:51:07.334,-0.871,0.402,0.141
14/04/2020 12:51:07.367,-0.723,0.375,0.148
14/04/2020 12:51:07.400,-0.777,0.449,0.148
14/04/2020 12:51:07.434,-0.867,0.484,0.191
14/04/2020 12:51:07.467,-0.859,0.418,0.246
14/04/2020 12:51:07.500,-0.813,0.371,0.242
14/04/2020 12:51:07.534,-0.848,0.367,0.223
14/04/2020 12:51:07.567,-0.848,0.367,0.207
14/04/2020 12:51:07.600,-0.855,0.398,0.180
14/04/2020 12:51:07.634,-0.934,0.391,0.184
14/04/2020 12:51:07.667,-0.918,0.363,0.156
14/04/2020 12:51:07.700,-0.938,0.348,0.156
14/04/2020 12:51:07.734,-0.977,0.367,0.172
14/04/2020 12:51:07.767,-1.020,0.477,0.152
14/04/2020 12:51:07.800,-1.023,0.445,0.141
14/04/2020 12:51:07.834,-1.051,0.410,0.121
